rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
493,Ripon College,"Ripon, WI",1010/24,53600,22400,99%,28000,43600
494,Felician University,"Lodi, NJ",900/19,51800,19000,83%,25000,51500
495,Catholic University of America,"Washington, DC",NA/NA,64000,38700,98%,26100,52800
496,West Virginia University,"Morgantown, WV",1020/24,23000,11600,70%,24000,50800
497,Emmanuel College,"Boston, MA",1120/25,58200,34200,100%,27000,46700
498,Franciscan University of Steubenville,"Steubenville, OH",1170/25,38700,28300,99%,22000,44400
499,Butler University,"Indianapolis, IN",1160/28,58100,35700,98%,27000,48900
500,Southwestern University,"Georgetown, TX",1170/26,55600,27500,99%,26900,50300
501,Valparaiso University,"Valparaiso, IN",1100/26,54300,24300,100%,27000,50700
501,Baylor University,"Waco, TX",1220/28,61700,39000,97%,25000,51600
501,Point Loma Nazarene University,"San Diego, CA",1140/26,51000,32200,94%,25000,48300
504,North Central College,"Naperville, IL",1080/25,52500,26000,100%,25000,47200
